GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recommendation_feedback,com.pccw.recommendation.feedback.util,ErrorResponseUtil,3,11,0,0,1,3,1,1,1,1
recommendation_feedback,com.pccw.recommendation.feedback.util,DataTypeUtil,3,19,0,0,1,5,1,3,1,3
recommendation_feedback,com.pccw.recommendation.feedback.response,Data,0,17,0,0,0,7,0,5,0,5
recommendation_feedback,com.pccw.recommendation.feedback.response,RecomFeedbackHistory,105,132,0,0,10,56,2,38,2,38
recommendation_feedback,com.pccw.recommendation.feedback.response,ResponseMessage,0,31,0,0,0,13,0,9,0,9
recommendation_feedback,com.pccw.recommendation.feedback.helper,RecomFeedbackHelper,30,204,27,29,14,50,27,5,0,4
recommendation_feedback,com.pccw.recommendation.feedback.helper,SQLHelper,0,41,0,0,0,5,0,3,0,3
recommendation_feedback,com.pccw.recommendation.feedback.model,RecomFeedback,115,205,0,0,11,78,4,39,4,39
recommendation_feedback,com.pccw.recommendation.feedback.model,RecomFeedbackPost,0,213,0,0,0,59,0,36,0,36
recommendation_feedback,com.pccw.recommendation.feedback.App,SpringBootSwaggerApplication,78,0,0,0,17,0,4,0,4,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},12,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},12,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute,228,0,0,0,31,0,4,0,4,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},35,0,0,0,5,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},12,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},12,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},12,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},17,0,0,0,4,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},25,0,0,0,5,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},17,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.App,RecomFeedbackRoute.new Processor() {...},12,0,0,0,3,0,2,0,2,0
recommendation_feedback,com.pccw.recommendation.feedback.service,RecomFeedbackServiceImpl,459,470,6,2,68,73,6,8,3,7
